PSD_ID,Low_size,High_size,Bin_concentration,shape_factor,dimention
W2W_sediment_fragment,390,395,1,0,3
W2W_sediment_fragment,405,410,3,0,3
W2W_sediment_fragment,410,415,2,0,3
W2W_sediment_fragment,425,430,2,0,3
W2W_sediment_fragment,435,440,1,0,3
W2W_sediment_fragment,455,460,1,0,3
W2W_sediment_fragment,485,490,1,0,3
W2W_sediment_fragment,520,525,1,0,3
W2W_sediment_fragment,535,540,1,0,3
W2W_sediment_fragment,555,560,1,0,3
W2W_sediment_fragment,575,580,1,0,3
W2W_sediment_fragment,645,650,1,0,3
W2W_sediment_fiber,80,85,1,0,1
W2W_sediment_fiber,100,105,1,0,1
W2W_sediment_fiber,115,120,3,0,1
W2W_sediment_fiber,125,130,1,0,1
W2W_sediment_fiber,135,140,2,0,1
W2W_sediment_fiber,145,150,2,0,1
W2W_sediment_fiber,150,155,1,0,1
W2W_sediment_fiber,155,160,2,0,1
W2W_sediment_fiber,170,175,5,0,1
W2W_sediment_fiber,175,180,2,0,1
W2W_sediment_fiber,180,185,2,0,1
W2W_sediment_fiber,185,190,2,0,1
W2W_sediment_fiber,200,205,4,0,1
W2W_sediment_fiber,205,210,3,0,1
W2W_sediment_fiber,215,220,2,0,1
W2W_sediment_fiber,220,225,1,0,1
W2W_sediment_fiber,225,230,2,0,1
W2W_sediment_fiber,230,235,2,0,1
W2W_sediment_fiber,235,240,1,0,1
W2W_sediment_fiber,240,245,1,0,1
W2W_sediment_fiber,245,250,2,0,1
W2W_sediment_fiber,250,255,2,0,1
W2W_sediment_fiber,255,260,2,0,1
W2W_sediment_fiber,260,265,5,0,1
W2W_sediment_fiber,270,275,2,0,1
W2W_sediment_fiber,275,280,1,0,1
W2W_sediment_fiber,280,285,1,0,1
W2W_sediment_fiber,285,290,1,0,1
W2W_sediment_fiber,290,295,1,0,1
W2W_sediment_fiber,295,300,1,0,1
W2W_sediment_fiber,300,305,2,0,1
W2W_sediment_fiber,305,310,1,0,1
W2W_sediment_fiber,315,320,2,0,1
W2W_sediment_fiber,325,330,3,0,1
W2W_sediment_fiber,335,340,1,0,1
W2W_sediment_fiber,350,355,3,0,1
W2W_sediment_fiber,355,360,1,0,1
W2W_sediment_fiber,370,375,1,0,1
W2W_sediment_fiber,380,385,5,0,1
W2W_sediment_fiber,395,400,1,0,1
W2W_sediment_fiber,400,405,1,0,1
W2W_sediment_fiber,415,420,1,0,1
W2W_sediment_fiber,425,430,1,0,1
W2W_sediment_fiber,435,440,1,0,1
W2W_sediment_fiber,460,465,1,0,1
W2W_sediment_fiber,470,475,1,0,1
W2W_sediment_fiber,480,485,2,0,1
W2W_sediment_fiber,490,495,1,0,1
W2W_sediment_fiber,510,515,1,0,1
W2W_sediment_fiber,515,520,1,0,1
W2W_sediment_fiber,525,530,1,0,1
W2W_sediment_fiber,540,545,1,0,1
W2W_sediment_fiber,555,560,2,0,1
W2W_sediment_fiber,560,565,1,0,1
W2W_sediment_fiber,570,575,2,0,1
W2W_sediment_fiber,580,585,1,0,1
W2W_sediment_fiber,585,590,1,0,1
W2W_sediment_fiber,600,605,1,0,1
W2W_sediment_fiber,625,630,2,0,1
W2W_sediment_fiber,655,660,1,0,1
W2W_sediment_fiber,695,700,1,0,1
W2W_sediment_fiber,835,840,1,0,1
W2W_sediment_fiber,880,885,1,0,1
W2W_sediment_fiber,930,935,2,0,1
W2W_sediment_fiber,950,955,1,0,1
W2W_sediment_fiber,1050,1055,1,0,1
W2W_sediment_fiber,1115,1120,1,0,1
W2W_sediment_fiber,1150,1155,1,0,1
W2W_sediment_fiber,1285,1290,1,0,1
W2W_ocean_all,50,55,12,0,3
W2W_ocean_all,60,65,15,0,3
W2W_ocean_all,70,75,7,0,3
W2W_ocean_all,80,85,9,0,3
W2W_ocean_all,95,100,7,0,3
W2W_ocean_all,100,105,13,0,3
W2W_ocean_all,115,120,9,0,3
W2W_ocean_all,120,125,1,0,3
W2W_ocean_all,125,130,5,0,3
W2W_ocean_all,130,135,2,0,3
W2W_ocean_all,135,140,5,0,3
W2W_ocean_all,145,150,1,0,3
W2W_ocean_all,150,155,1,0,3
W2W_ocean_all,155,160,4,0,3
W2W_ocean_all,170,175,3,0,3
W2W_ocean_all,175,180,1,0,3
W2W_ocean_all,190,195,2,0,3
W2W_ocean_all,200,205,1,0,3
W2W_ocean_all,205,210,2,0,3
W2W_ocean_all,215,220,2,0,3
W2W_ocean_all,225,230,1,0,3
W2W_ocean_all,240,245,3,0,3
W2W_ocean_all,260,265,1,0,3
W2W_ocean_all,290,295,1,0,3
W2W_ocean_all,310,315,1,0,3
W2W_ocean_all,325,330,1,0,3
W2W_ocean_all,330,335,1,0,3
W2W_ocean_all,345,350,2,0,3
W2W_ocean_all,440,445,1,0,3
W2W_ocean_all,495,500,1,0,3
W2W_ocean_all,765,770,1,0,3
W2W_ocean_all,875,880,1,0,3
W2W_ocean_fragment,50,55,12,0,3
W2W_ocean_fragment,60,65,15,0,3
W2W_ocean_fragment,70,75,3,0,3
W2W_ocean_fragment,80,85,9,0,3
W2W_ocean_fragment,95,100,7,0,3
W2W_ocean_fragment,100,105,12,0,3
W2W_ocean_fragment,115,120,9,0,3
W2W_ocean_fragment,120,125,1,0,3
W2W_ocean_fragment,125,130,5,0,3
W2W_ocean_fragment,130,135,2,0,3
W2W_ocean_fragment,135,140,5,0,3
W2W_ocean_fragment,145,150,1,0,3
W2W_ocean_fragment,150,155,1,0,3
W2W_ocean_fragment,155,160,4,0,3
W2W_ocean_fragment,170,175,3,0,3
W2W_ocean_fragment,175,180,1,0,3
W2W_ocean_fragment,190,195,2,0,3
W2W_ocean_fragment,200,205,1,0,3
W2W_ocean_fragment,205,210,2,0,3
W2W_ocean_fragment,215,220,2,0,3
W2W_ocean_fragment,225,230,1,0,3
W2W_ocean_fragment,240,245,3,0,3
W2W_ocean_fragment,290,295,1,0,3
W2W_ocean_fragment,330,335,1,0,3
W2W_ocean_fragment,345,350,2,0,3
W2W_ocean_fragment,440,445,1,0,3
W2W_ocean_fiber,75,80,4,0,1
W2W_ocean_fiber,100,105,1,0,1
W2W_ocean_fiber,260,265,1,0,1
W2W_ocean_fiber,310,315,1,0,1
W2W_ocean_fiber,325,330,1,0,1
W2W_ocean_fiber,495,500,1,0,1
W2W_ocean_fiber,765,770,1,0,1
W2W_ocean_fiber,875,880,1,0,1
